County Name,Facility_Name,Full_Address,State,Total
MESA,WEST SPRINGS HOSPITAL,"515 28 3/4 RD,GRAND JUNCTION,MESA,CO",CO,7598
DOUGLAS,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,"8565 S POPLAR WAY,LITTLETON,DOUGLAS,CO",CO,606395
EL PASO,PEAK VIEW BEHAVIORAL HEALTH,"7353 SISTERS GROVE,COLORADO SPRINGS,EL PASO,CO",CO,548127
WELD,CLEAR VIEW BEHAVIORAL HEALTH,"4770 LARIMER PKWY,JOHNSTOWN,WELD,CO",CO,238753
ARAPAHOE,DENVER SPRINGS,"8835 AMERICAN WAY,ENGLEWOOD,ARAPAHOE,CO",CO,409427
HARTFORD,ST FRANCIS HOSPITAL & MEDICAL CENTER,"114 WOODLAND STREET,HARTFORD,HARTFORD,CT",CT,915526
WINDHAM,DAY KIMBALL HOSPITAL,"320 POMFRET STREET,PUTNAM,WINDHAM,CT",CT,48282
LITCHFIELD,SHARON HOSPITAL,"50 HOSPITAL HILL ROAD,SHARON,LITCHFIELD,CT",CT,127748
NEW HAVEN,WATERBURY HOSPITAL,"64 ROBBINS ST,WATERBURY,NEW HAVEN,CT",CT,1038687
FAIRFIELD,STAMFORD HOSPITAL,"ONE HOSPITAL PLAZA,STAMFORD,FAIRFIELD,CT",CT,1524646
NEW LONDON,LAWRENCE & MEMORIAL HOSPITAL,"365 MONTAUK AVE,NEW LONDON,NEW LONDON,CT",CT,96547
TOLLAND,JOHNSON MEMORIAL HOSPITAL,"201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,TOLLAND,CT",CT,73018
FAIRFIELD,BRIDGEPORT HOSPITAL,"267 GRANT STREET,BRIDGEPORT,FAIRFIELD,CT",CT,1524646
LITCHFIELD,CHARLOTTE HUNGERFORD HOSPITAL,"540 LITCHFIELD ST,TORRINGTON,LITCHFIELD,CT",CT,127748
TOLLAND,ROCKVILLE GENERAL HOSPITAL,"31 UNION ST,ROCKVILLE,TOLLAND,CT",CT,73018
NEW HAVEN,SAINT MARY'S HOSPITAL,"56 FRANKLIN STEET,WATERBURY,NEW HAVEN,CT",CT,1038687
NEW HAVEN,MIDSTATE MEDICAL CENTER,"435 LEWIS AVENUE,MERIDEN,NEW HAVEN,CT",CT,1038687
FAIRFIELD,GREENWICH HOSPITAL ASSOCIATION -,"5 PERRYRIDGE RD,GREENWICH,FAIRFIELD,CT",CT,1524646
MIDDLESEX,MIDDLESEX HOSPITAL,"28 CRESCENT ST,MIDDLETOWN,MIDDLESEX,CT",CT,3582298
WINDHAM,WINDHAM COMMUNITY MEMORIAL HOSPITAL,"112 MANSFIELD AVENUE,WILLIMANTIC,WINDHAM,CT",CT,48282
NEW HAVEN,YALE-NEW HAVEN HOSPITAL,"20 YORK ST,NEW HAVEN,NEW HAVEN,CT",CT,1038687
NEW LONDON,WILLIAM W BACKUS HOSPITAL,"326 WASHINGTON ST,NORWICH,NEW LONDON,CT",CT,96547
HARTFORD,HARTFORD HOSPITAL,"80 SEYMOUR STREET,HARTFORD,HARTFORD,CT",CT,915526
HARTFORD,MANCHESTER MEMORIAL HOSPITAL,"71 HAYNES ST,MANCHESTER,HARTFORD,CT",CT,915526
FAIRFIELD,ST. VINCENT'S MEDICAL CENTER,"2800 MAIN ST,BRIDGEPORT,FAIRFIELD,CT",CT,1524646
HARTFORD,BRISTOL HOSPITAL,"41 BREWSTER RD,BRISTOL,HARTFORD,CT",CT,915526
NEW HAVEN,GRIFFIN HOSPITAL,"130 DIVISION ST,DERBY,NEW HAVEN,CT",CT,1038687
FAIRFIELD,DANBURY HOSPITAL,"24 HOSPITAL AVE,DANBURY,FAIRFIELD,CT",CT,1524646
FAIRFIELD,NORWALK HOSPITAL,"24 STEVENS STREET,NORWALK,FAIRFIELD,CT",CT,1524646
HARTFORD,THE HOSPITAL OF CENTRAL CONNECTICUT,"100 GRAND STREET,NEW BRITAIN,HARTFORD,CT",CT,915526
HARTFORD,JOHN DEMPSEY HOSPITAL,"263 FARMINGTON AVE,FARMINGTON,HARTFORD,CT",CT,915526
NEW HAVEN,THE CONNECTICUT HOSPICE INC.,"100 DOUBLE BEACH ROAD,BRANFORD,NEW HAVEN,CT",CT,1038687
NEW HAVEN,MASONICARE HEALTH CENTER HOSPITAL,"22 MASONIC AVE,WALLINGFORD,NEW HAVEN,CT",CT,1038687
HARTFORD,HEBREW HOME AND HOSPITAL INC,"1 ABRAHMS BOULEVARD,WEST HARTFORD,HARTFORD,CT",CT,915526
HARTFORD,CONNECTICUT CHILDRENS MEDICAL CENTER,"282 WASHINGTON STREET,HARTFORD,HARTFORD,CT",CT,915526
MIDDLESEX,CONNECTICUT VALLEY HOSP,"SILVER ST,MIDDLETOWN,MIDDLESEX,CT",CT,3582298
TOLLAND,NATCHAUG HOSPITAL,"189 STORRS RD,MANSFIELD CENTER,TOLLAND,CT",CT,73018
NEW HAVEN,CONNECTICUT MENTAL HEALTH CENTER,"34 PARK STREET,NEW HAVEN,NEW HAVEN,CT",CT,1038687
FAIRFIELD,SOUTHWEST CONNECTICUT MENTAL HEALTH,"1635 CENTRAL AVE,BRIDGEPORT,FAIRFIELD,CT",CT,1524646
FAIRFIELD,SILVER HILL HOSPITAL INC,"208 VALLEY ROAD,NEW CANAAN,FAIRFIELD,CT",CT,1524646
MIDDLESEX,ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS,"915 RIVER ROAD,MIDDLETOWN,MIDDLESEX,CT",CT,3582298
NEW CASTLE,CHRISTIANA HOSPITAL,"4755 OGLETOWN-STANTON ROAD,NEWARK,NEW CASTLE,DE",DE,361677
NEW CASTLE,ST FRANCIS HOSPITAL,"7TH AND CLAYTON STS,WILMINGTON,NEW CASTLE,DE",DE,361677
KENT,"BAYHEALTH HOSPITAL, KENT CAMPUS","640 S STATE STREET,DOVER,KENT,DE",DE,585984
SUSSEX,NANTICOKE MEMORIAL HOSPITAL,"801 MIDDLEFORD RD,SEAFORD,SUSSEX,DE",DE,489876
SUSSEX,BEEBE MEDICAL CENTER,"424 SAVANNAH RD,LEWES,SUSSEX,DE",DE,489876
SUSSEX,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS","100 WELLNESS WAY,MILFORD,SUSSEX,DE",DE,489876
NEW CASTLE,ALFRED I DUPONT HOSPITAL FOR CHILDREN,"1600 ROCKLAND RD PO BOX 269,WILMINGTON,NEW CASTLE,DE",DE,361677
NEW CASTLE,DELAWARE PSYCHIATRIC CENTER,"1901 N DUPONT HIGHWAY,NEW CASTLE,NEW CASTLE,DE",DE,361677
NEW CASTLE,ROCKFORD CENTER,"100 ROCKFORD DRIVE,NEWARK,NEW CASTLE,DE",DE,361677
NEW CASTLE,MEADOWWOOD BEHAVIORAL HEALTH SYSTEM,"575 SOUTH DUPONT HIGHWAY,NEW CASTLE,NEW CASTLE,DE",DE,361677
KENT,DOVER BEHAVIORAL HEALTH SYSTEM,"725 HORSEPOND ROAD,DOVER,KENT,DE",DE,585984
SUSSEX,SUN BEHAVIORAL DELAWARE LLC,"21655 BIDEN AVENUE,GEORGETOWN,SUSSEX,DE",DE,489876
DUVAL,SHANDS JACKSONVILLE,"655 W 8TH ST,JACKSONVILLE,DUVAL,FL",FL,385226
PALM BEACH,BETHESDA  HOSPITAL INC,"2815 S SEACREST BLVD,BOYNTON BEACH,PALM BEACH,FL",FL,882215
ORANGE,ORLANDO HEALTH,"52 W UNDERWOOD ST,ORLANDO,ORANGE,FL",FL,2564493
ORANGE,ADVENTHEALTH ORLANDO,"601 E ROLLINS ST,ORLANDO,ORANGE,FL",FL,2564493
MIAMI-DADE,BAPTIST HOSPITAL OF MIAMI,"8900 N KENDALL DR,MIAMI,MIAMI-DADE,FL",FL,2662764
LEE,LEE MEMORIAL HOSPITAL,"2776 CLEVELAND AVE,FORT MYERS,LEE,FL",FL,602633
VOLUSIA,ADVENTHEALTH NEW SMYRNA BEACH,"401 PALMETTO ST,NEW SMYRNA BEACH,VOLUSIA,FL",FL,133819
VOLUSIA,HALIFAX HEALTH MEDICAL CENTER,"303 N CLYDE MORRIS BLVD,DAYTONA BEACH,VOLUSIA,FL",FL,133819
BREVARD,HOLMES REGIONAL MEDICAL CENTER,"1350 S HICKORY ST,MELBOURNE,BREVARD,FL",FL,103383
MIAMI-DADE,JACKSON HEALTH SYSTEM,"1611 NW 12TH AVE,MIAMI,MIAMI-DADE,FL",FL,2662764
ESCAMBIA,SACRED HEART HOSPITAL,"5151 N 9TH AVE,PENSACOLA,ESCAMBIA,FL",FL,156137
BAY,ASCENSION SACRED HEART BAY,"615 N BONITA AVE,PANAMA CITY,BAY,FL",FL,61805
BREVARD,PARRISH MEDICAL CENTER,"951 N WASHINGTON AVE,TITUSVILLE,BREVARD,FL",FL,103383
MIAMI-DADE,NORTH SHORE MEDICAL CENTER,"1100 NW 95TH ST,MIAMI,MIAMI-DADE,FL",FL,2662764
ORANGE,HEALTH CENTRAL,"10000 W COLONIAL DR,OCOEE,ORANGE,FL",FL,2564493
PINELLAS,BAYFRONT HEALTH - ST PETERSBURG,"701 6TH ST S,SAINT PETERSBURG,PINELLAS,FL",FL,345844
MIAMI-DADE,MOUNT SINAI MEDICAL CENTER,"4300 ALTON RD,MIAMI BEACH,MIAMI-DADE,FL",FL,2662764
MANATEE,MANATEE MEMORIAL HOSPITAL,"206 2ND ST E,BRADENTON,MANATEE,FL",FL,180795
BROWARD,MEMORIAL REGIONAL HOSPITAL,"3501 JOHNSON ST,HOLLYWOOD,BROWARD,FL",FL,1162288
BROWARD,BROWARD HEALTH MEDICAL CENTER,"1600 S ANDREWS AVE,FORT LAUDERDALE,BROWARD,FL",FL,1162288
DUVAL,ASCENSION ST VINCENT'S RIVERSIDE,"1 SHIRCLIFF WAY,JACKSONVILLE,DUVAL,FL",FL,385226
PINELLAS,MEASE DUNEDIN HOSPITAL,"601 MAIN ST,DUNEDIN,PINELLAS,FL",FL,345844
MARTIN,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,"200 SE HOSPITAL AVE,STUART,MARTIN,FL",FL,129688
VOLUSIA,ADVENTHEALTH DELAND,"701 W PLYMOUTH AVE,DELAND,VOLUSIA,FL",FL,133819
PASCO,FLORIDA HOSPITAL ZEPHYRHILLS,"7050 GALL BLVD,ZEPHYRHILLS,PASCO,FL",FL,111132
SANTA ROSA,JAY HOSPITAL,"14114 ALABAMA ST,JAY,SANTA ROSA,FL",FL,43769
HIGHLANDS,HIGHLANDS REGIONAL MEDICAL CENTER,"3600 S HIGHLANDS AVE,SEBRING,HIGHLANDS,FL",FL,21812
MIAMI-DADE,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,"1475 W 49TH ST,HIALEAH,MIAMI-DADE,FL",FL,2662764
LAKE,ORLANDO HEALTH SOUTH LAKE HOSPITAL,"1900 DON WICKHAM DR,CLERMONT,LAKE,FL",FL,1248599
POLK,WINTER HAVEN HOSPITAL,"200 AVE F NE,WINTER HAVEN,POLK,FL",FL,678790
MIAMI-DADE,HIALEAH HOSPITAL,"651 E 25TH ST,HIALEAH,MIAMI-DADE,FL",FL,2662764
OKALOOSA,TWIN CITIES HOSPITAL,"2190 HWY 85 N,NICEVILLE,OKALOOSA,FL",FL,44926
PINELLAS,ADVENTHEALTH NORTH PINELLAS,"1395 S PINELLAS AVE,TARPON SPRINGS,PINELLAS,FL",FL,345844
LAKE,ADVENTHEALTH WATERMAN,"1000 WATERMAN WAY,TAVARES,LAKE,FL",FL,1248599
MARION,ADVENTHEALTH OCALA,"1500 SW 1ST AVE,OCALA,MARION,FL",FL,1388722
PASCO,MORTON PLANT NORTH BAY HOSPITAL,"6600 MADISON ST,NEW PORT RICHEY,PASCO,FL",FL,111132
PINELLAS,ST ANTHONYS HOSPITAL,"1200 SEVENTH AVE N,SAINT PETERSBURG,PINELLAS,FL",FL,345844
VOLUSIA,ADVENTHEALTH DAYTONA BEACH,"301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,VOLUSIA,FL",FL,133819
HILLSBOROUGH,FLORIDA HOSPITAL CARROLLWOOD,"7171 N DALE MABRY HWY,TAMPA,HILLSBOROUGH,FL",FL,808285
SARASOTA,VENICE REGIONAL BAYFRONT HEALTH,"540 THE RIALTO,VENICE,SARASOTA,FL",FL,107033
HERNANDO,BAYFRONT HEALTH BROOKSVILLE,"17240 CORTEZ BLVD,BROOKSVILLE,HERNANDO,FL",FL,26613
VOLUSIA,ADVENTHEALTH FISH MEMORIAL,"1055 SAXON BLVD,ORANGE CITY,VOLUSIA,FL",FL,133819
BROWARD,HOLY CROSS HOSPITAL,"4725 N FEDERAL HWY,FORT LAUDERDALE,BROWARD,FL",FL,1162288
HILLSBOROUGH,ST JOSEPHS HOSPITAL,"3001 W MARTIN LUTHER KING JR BLVD,TAMPA,HILLSBOROUGH,FL",FL,808285
PALM BEACH,JFK MEDICAL CENTER,"5301 S CONGRESS AVE,ATLANTIS,PALM BEACH,FL",FL,882215
WALTON,HEALTHMARK REGIONAL MEDICAL CENTER,"4413 US HWY 331 S,DEFUNIAK SPRINGS,WALTON,FL",FL,46386
LAKE,UF HEALTH LEESBURG HOSPITAL,"600 E DIXIE AVE,LEESBURG,LAKE,FL",FL,1248599
BROWARD,BROWARD HEALTH NORTH,"201 E SAMPLE RD,POMPANO BEACH,BROWARD,FL",FL,1162288
SARASOTA,SARASOTA MEMORIAL HOSPITAL,"1700 S TAMIAMI TRL,SARASOTA,SARASOTA,FL",FL,107033
DUVAL,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,"800 PRUDENTIAL DR,JACKSONVILLE,DUVAL,FL",FL,385226
ST. JOHNS,FLAGLER HOSPITAL,"400 HEALTH PARK BLVD,SAINT AUGUSTINE,ST. JOHNS,FL",FL,60558
BREVARD,STEWARD ROCKLEDGE HOSPITAL,"110 LONGWOOD AVE,ROCKLEDGE,BREVARD,FL",FL,103383
ESCAMBIA,BAPTIST HOSPITAL,"1000 W MORENO ST,PENSACOLA,ESCAMBIA,FL",FL,156137
POLK,ADVENTHEALTH LAKE WALES,"410 S 11TH ST,LAKE WALES,POLK,FL",FL,678790
INDIAN RIVER,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,"1000 36TH ST,VERO BEACH,INDIAN RIVER,FL",FL,38253
TAYLOR,DOCTORS MEMORIAL HOSPITAL INC,"333 N BYRON BUTLER PKWY,PERRY,TAYLOR,FL",FL,46391
LEE,LEHIGH REGIONAL MEDICAL CENTER,"1500 LEE BLVD,LEHIGH ACRES,LEE,FL",FL,602633
HIGHLANDS,ADVENTHEALTH SEBRING,"4200 SUN N LAKE BLVD,SEBRING,HIGHLANDS,FL",FL,21812
OSCEOLA,OSCEOLA REGIONAL MEDICAL CENTER,"700 WEST OAK STREET,KISSIMMEE,OSCEOLA,FL",FL,146353
ALACHUA,UF HEALTH SHANDS HOSPITAL,"1600 SW ARCHER RD,GAINESVILLE,ALACHUA,FL",FL,75172
DUVAL,BAPTIST MEDICAL CENTER  BEACHES,"1350 13TH AVE S,JACKSONVILLE BEACH,DUVAL,FL",FL,385226
FLAGLER,FLORIDA HOSPITAL FLAGLER,"60 MEMORIAL MEDICAL PKWY,PALM COAST,FLAGLER,FL",FL,23291
POLK,BARTOW REGIONAL MEDICAL CENTER,"2200 OSPREY BLVD,BARTOW,POLK,FL",FL,678790
OKALOOSA,NORTH OKALOOSA MEDICAL CENTER,"151 REDSTONE AVE SE,CRESTVIEW,OKALOOSA,FL",FL,44926
SANTA ROSA,SANTA ROSA MEDICAL CENTER,"6002 BERRYHILL RD,MILTON,SANTA ROSA,FL",FL,43769
MIAMI-DADE,HOMESTEAD HOSPITAL,"975 BAPTIST WAY,HOMESTEAD,MIAMI-DADE,FL",FL,2662764
PINELLAS,PALMS OF PASADENA HOSPITAL,"1501 PASADENA AVE S,SAINT PETERSBURG,PINELLAS,FL",FL,345844
PINELLAS,MORTON PLANT HOSPITAL,"300 PINELLAS ST,CLEARWATER,PINELLAS,FL",FL,345844
HILLSBOROUGH,TAMPA GENERAL HOSPITAL,"1 TAMPA GENERAL CIR,TAMPA,HILLSBOROUGH,FL",FL,808285
PALM BEACH,LAKESIDE MEDICAL CENTER,"39200 HOOKER HWY,BELLE GLADE,PALM BEACH,FL",FL,882215
MIAMI-DADE,AVENTURA HOSPITAL AND MEDICAL CENTER,"20900 BISCAYNE BLVD,AVENTURA,MIAMI-DADE,FL",FL,2662764
HILLSBOROUGH,SOUTH FLORIDA BAPTIST HOSPITAL,"301 N ALEXANDER ST,PLANT CITY,HILLSBOROUGH,FL",FL,808285
BAKER,ED FRASER MEMORIAL HOSPITAL,"159 N 3RD ST,MACCLENNY,BAKER,FL",FL,9066
LEON,TALLAHASSEE MEMORIAL HEALTHCARE,"1300 MICCOSUKEE RD,TALLAHASSEE,LEON,FL",FL,76759
POLK,ADVENTHEALTH HEART OF FLORIDA,"40100 HWY 27,DAVENPORT,POLK,FL",FL,678790
DUVAL,NH Jacksonville,"2080 Child Street,Jacksonville,DUVAL,FL",FL,385226
NASSAU,BAPTIST MEDICAL CENTER - NASSAU,"1250 S 18TH ST,FERNANDINA BEACH,NASSAU,FL",FL,4107334
JACKSON,JACKSON HOSPITAL,"4250 HOSPITAL DR,MARIANNA,JACKSON,FL",FL,269410
MONROE,LOWER KEYS MEDICAL CENTER,"5900 COLLEGE ROAD,KEY WEST,MONROE,FL",FL,587834
DUVAL,MAYO CLINIC FLORIDA,"4500 SAN PABLO RD,JACKSONVILLE,DUVAL,FL",FL,385226
MIAMI-DADE,SOUTH MIAMI HOSPITAL,"6200 SW 73RD ST,SOUTH MIAMI,MIAMI-DADE,FL",FL,2662764
POLK,LAKELAND REGIONAL MEDICAL CENTER,"1324 LAKELAND HILLS BLVD,LAKELAND,POLK,FL",FL,678790
SEMINOLE,CENTRAL FLORIDA REGIONAL HOSPITAL,"1401 W SEMINOLE BLVD,SANFORD,SEMINOLE,FL",FL,143722
SARASOTA,DOCTORS HOSPITAL OF SARASOTA,"5731 BEE RIDGE RD,SARASOTA,SARASOTA,FL",FL,107033
BROWARD,PLANTATION GENERAL HOSPITAL,"401 NW 42ND AVE,PLANTATION,BROWARD,FL",FL,1162288
PALM BEACH,BOCA RATON REGIONAL HOSPITAL,"800 MEADOWS RD,BOCA RATON,PALM BEACH,FL",FL,882215
HILLSBOROUGH,ADVENTHEALTH TAMPA,"3100 E FLETCHER AVE,TAMPA,HILLSBOROUGH,FL",FL,808285
PALM BEACH,PALM BEACH GARDENS MEDICAL CENTER,"3360 BURNS RD,PALM BEACH GARDENS,PALM BEACH,FL",FL,882215
BREVARD,CAPE CANAVERAL HOSPITAL,"701 W COCOA BEACH CAUSEWAY,COCOA BEACH,BREVARD,FL",FL,103383
DUVAL,MEMORIAL HOSPITAL JACKSONVILLE,"3625 UNIVERSITY BLVD S,JACKSONVILLE,DUVAL,FL",FL,385226
PINELLAS,ST PETERSBURG GENERAL HOSPITAL,"6500 38TH AVE N,SAINT PETERSBURG,PINELLAS,FL",FL,345844
MIAMI-DADE,LARKIN COMMUNITY HOSPITAL,"7031 SW 62ND AVE,SOUTH MIAMI,MIAMI-DADE,FL",FL,2662764
MIAMI-DADE,CORAL GABLES HOSPITAL,"3100 DOUGLAS RD,CORAL GABLES,MIAMI-DADE,FL",FL,2662764
MIAMI-DADE,PALMETTO GENERAL HOSPITAL,"2001 W 68TH ST,HIALEAH,MIAMI-DADE,FL",FL,2662764
BROWARD,NORTHWEST MEDICAL CENTER,"2801 N STATE RD 7,MARGATE,BROWARD,FL",FL,1162288
PASCO,MEDICAL CENTER OF TRINITY,"9330 SR 54, STE 401,TRINITY,PASCO,FL",FL,111132
BROWARD,BROWARD HEALTH IMPERIAL POINT,"6401 N FEDERAL HWY,FORT LAUDERDALE,BROWARD,FL",FL,1162288
ALACHUA,NORTH FLORIDA REGIONAL MEDICAL CENTER,"6500 NEWBERRY RD,GAINESVILLE,ALACHUA,FL",FL,75172
HILLSBOROUGH,MEMORIAL HOSPITAL OF TAMPA,"2901 W SWANN AVE,TAMPA,HILLSBOROUGH,FL",FL,808285
MIAMI-DADE,KENDALL REGIONAL MEDICAL CENTER,"11750 BIRD RD,MIAMI,MIAMI-DADE,FL",FL,2662764
PASCO,ADVENTHEALTH DADE CITY,"13100 FT KING RD,DADE CITY,PASCO,FL",FL,111132
MARION,MARION COMMUNTIY HOSPITAL,"1431 SW 1ST AVE,OCALA,MARION,FL",FL,1388722
MANATEE,BLAKE MEDICAL CENTER,"2020 59TH ST W,BRADENTON,MANATEE,FL",FL,180795
INDIAN RIVER,STEWARD SEBASTIAN RIVER MEDICAL CENTER,"13695 US HWY 1,SEBASTIAN,INDIAN RIVER,FL",FL,38253
OKALOOSA,96th Medical Group (Eglin AFB),"96 MDG 307 Boatner Rd Suite 114,Eglin AFB,OKALOOSA,FL",FL,44926
LEE,GULF COAST MEDICAL CENTER LEE HEALTH,"13681 DOCTORS WAY,FORT MYERS,LEE,FL",FL,602633
OKALOOSA,FORT WALTON BEACH MEDICAL CENTER,"1000 MAR-WALT DR,FORT WALTON BEACH,OKALOOSA,FL",FL,44926
BROWARD,UNIVERSITY HOSPITAL AND MEDICAL CENTER,"7201 N UNIVERSITY DR,TAMARAC,BROWARD,FL",FL,1162288
BROWARD,WESTSIDE REGIONAL MEDICAL CENTER,"8201 W BROWARD BLVD,PLANTATION,BROWARD,FL",FL,1162288
BROWARD,MEMORIAL HOSPITAL PEMBROKE,"7800 SHERIDAN ST,PEMBROKE PINES,BROWARD,FL",FL,1162288
ESCAMBIA,WEST FLORIDA HOSPITAL,"8383 N DAVIS HWY,PENSACOLA,ESCAMBIA,FL",FL,156137
PUTNAM,PUTNAM COMMUNITY MEDICAL CENTER,"611 ZEAGLER DR,PALATKA,PUTNAM,FL",FL,231090
PINELLAS,NORTHSIDE HOSPITAL,"6000 49TH ST N,SAINT PETERSBURG,PINELLAS,FL",FL,345844
BAY,GULF COAST REGIONAL MEDICAL CENTER,"449 W 23RD ST,PANAMA CITY,BAY,FL",FL,61805
HILLSBOROUGH,BRANDON REGIONAL HOSPITAL,"119 OAKFIELD DR,BRANDON,HILLSBOROUGH,FL",FL,808285
LEE,CAPE CORAL HOSPITAL,"636 DEL PRADO BLVD,CAPE CORAL,LEE,FL",FL,602633
ST. LUCIE,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,"1700 S 23RD ST,FORT PIERCE,ST. LUCIE,FL",FL,100079
PINELLAS,LARGO MEDICAL CENTER,"201 14TH ST SW,LARGO,PINELLAS,FL",FL,345844
OKEECHOBEE,RAULERSON HOSPITAL,"1796 HWY 441 NORTH,OKEECHOBEE,OKEECHOBEE,FL",FL,17817
PALM BEACH,JUPITER MEDICAL CENTER,"1210 S OLD DIXIE HWY,JUPITER,PALM BEACH,FL",FL,882215
LEON,CAPITAL REGIONAL MEDICAL CENTER,"2626 CAPITAL MEDICAL BLVD,TALLAHASSEE,LEON,FL",FL,76759
PASCO,REGIONAL MEDICAL CENTER BAYONET POINT,"14000 FIVAY RD,HUDSON,PASCO,FL",FL,111132
PALM BEACH,DELRAY MEDICAL CENTER,"5352 LINTON BLVD,DELRAY BEACH,PALM BEACH,FL",FL,882215
HILLSBOROUGH,SOUTH BAY HOSPITAL,"4016 SUN CITY CENTER BLVD,SUN CITY CENTER,HILLSBOROUGH,FL",FL,808285
ST. LUCIE,ST LUCIE MEDICAL CENTER,"1800 SE TIFFANY AVE,PORT SAINT LUCIE,ST. LUCIE,FL",FL,100079
HERNANDO,OAK HILL HOSPITAL,"11375 CORTEZ BLVD,BROOKSVILLE,HERNANDO,FL",FL,26613
PINELLAS,MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE,"3231 MCMULLEN BOOTH RD,SAFETY HARBOR,PINELLAS,FL",FL,345844
SANTA ROSA,GULF BREEZE HOSPITAL,"1110 GULF BREEZE PKWY,GULF BREEZE,SANTA ROSA,FL",FL,43769
SARASOTA,ENGLEWOOD COMMUNITY HOSPITAL,"700 MEDICAL BLVD,ENGLEWOOD,SARASOTA,FL",FL,107033
PALM BEACH,WEST BOCA MEDICAL CENTER,"21644 STATE RD 7,BOCA RATON,PALM BEACH,FL",FL,882215
PALM BEACH,PALMS WEST HOSPITAL,"13001 SOUTHERN BLVD,LOXAHATCHEE,PALM BEACH,FL",FL,882215
PALM BEACH,WELLINGTON REGIONAL MEDICAL CENTER LLC,"10101 FOREST HILL BLVD,WELLINGTON,PALM BEACH,FL",FL,882215
BROWARD,BROWARD HEALTH CORAL SPRINGS,"3000 CORAL HILLS DR,CORAL SPRINGS,BROWARD,FL",FL,1162288
MIAMI-DADE,DOUGLAS GARDENS HOSPITAL,"5200 NE 2ND AVE,MIAMI,MIAMI-DADE,FL",FL,2662764
BROWARD,MEMORIAL HOSPITAL WEST,"703 N FLAMINGO RD,PEMBROKE PINES,BROWARD,FL",FL,1162288
MIAMI-DADE,WESTCHESTER GENERAL HOSPITAL,"2500 SW 75TH AVE,MIAMI,MIAMI-DADE,FL",FL,2662764
BROWARD,MEMORIAL HOSPITAL MIRAMAR,"1901 SW 172ND AVE,MIRAMAR,BROWARD,FL",FL,1162288
PALM BEACH,GOOD SAMARITAN MEDICAL CENTER,"1309 N FLAGLER DR,WEST PALM BEACH,PALM BEACH,FL",FL,882215
PALM BEACH,ST MARY'S MEDICAL CENTER,"901 45TH ST,WEST PALM BEACH,PALM BEACH,FL",FL,882215
BROWARD,CLEVELAND CLINIC HOSPITAL,"3100 WESTON RD,WESTON,BROWARD,FL",FL,1162288
LAKE,"VILLAGES REGIONAL HOSPITAL, THE","1451 EL CAMINO REAL,THE VILLAGES,LAKE,FL",FL,1248599
BREVARD,MELBOURNE REGIONAL MEDICAL CENTER,"250 NORTH WICKHAM ROAD,MELBOURNE,BREVARD,FL",FL,103383
WALTON,SACRED HEART HOSPITAL ON THE EMERALD COAST,"7800 US HWY 98 W,MIRAMAR BEACH,WALTON,FL",FL,46386
MIAMI-DADE,DOCTORS HOSPITAL,"5000 UNIVERSITY DR,CORAL GABLES,MIAMI-DADE,FL",FL,2662764
GADSDEN,FLORIDA STATE HOSPITAL UNIT 31 MED,"100 N MAIN ST,CHATTAHOOCHEE,GADSDEN,FL",FL,28240
MANATEE,LAKEWOOD RANCH MEDICAL CENTER,"8330 LAKEWOOD RANCH BLVD,BRADENTON,MANATEE,FL",FL,180795
OSCEOLA,ST CLOUD REGIONAL MEDICAL CENTER,"2906 17TH STREET,SAINT CLOUD,OSCEOLA,FL",FL,146353
DUVAL,ASCENSION ST VINCENT'S SOUTHSIDE,"4201 BELFORT RD,JACKSONVILLE,DUVAL,FL",FL,385226
GULF,ASCENSION SACRED HEART GULF,"3801 E HWY 98,PORT SAINT JOE,GULF,FL",FL,2044
MIAMI-DADE,WEST KENDALL BAPTIST HOSPITAL,"9555 SW 162 AVE,MIAMI,MIAMI-DADE,FL",FL,2662764
BREVARD,VIERA HOSPITAL,"8745 N WICKHAM RD,MELBOURNE,BREVARD,FL",FL,103383
BREVARD,PALM BAY HOSPITAL,"1425 MALABAR RD, NE,PALM BAY,BREVARD,FL",FL,103383
PASCO,ADVENTHEALTH WESLEY CHAPEL,"2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,PASCO,FL",FL,111132
OSCEOLA,POINCIANA MEDICAL CENTER,"325 CYPRESS PKWY,KISSIMMEE,OSCEOLA,FL",FL,146353
LEVY,REGIONAL GENERAL HOSPITAL WILLISTON,"125 SW 7TH ST,WILLISTON,LEVY,FL",FL,9528
SEMINOLE,OVIEDO MEDICAL CENTER,"8300 RED BUG LAKE RD,OVIEDO,SEMINOLE,FL",FL,143722
